latitude,longitude,temperature_anomaly
48.25,-77.5,5.500701904296875
48.25,-77.25,5.17010498046875
48.25,-77.0,5.5150146484375
48.25,-76.75,5.6461181640625
48.25,-76.5,5.8389892578125
48.25,-76.25,5.792144775390625
48.25,-76.0,5.98260498046875
48.25,-75.75,5.644866943359375
48.25,-75.5,5.539947509765625
48.25,-75.25,5.393951416015625
48.25,-75.0,5.892578125
48.25,-74.75,6.19482421875
48.25,-74.5,6.0321044921875
48.25,-74.25,6.26788330078125
48.25,-74.0,6.246185302734375
48.25,-73.75,6.299041748046875
48.25,-73.5,6.26055908203125
48.25,-73.25,5.870361328125
48.25,-73.0,5.817108154296875
48.25,-72.75,5.9215087890625
48.25,-72.5,6.39111328125
48.25,-72.25,6.851715087890625
48.25,-72.0,6.473114013671875
48.25,-71.75,6.6942138671875
48.25,-71.5,7.127166748046875
48.25,-71.25,6.913970947265625
48.25,-71.0,6.480316162109375
48.25,-70.75,5.893829345703125
48.25,-70.5,6.08624267578125
48.25,-70.25,5.107757568359375
48.25,-69.5,5.07525634765625
48.25,-69.25,6.51751708984375
48.25,-69.0,6.031494140625
48.25,-68.75,5.99310302734375
48.25,-68.5,6.37664794921875
48.25,-68.25,6.19171142578125
48.25,-68.0,6.17047119140625
48.25,-67.75,5.529296875
48.25,-67.5,6.10498046875
48.25,-67.25,5.748138427734375
48.0,-124.5,-5.950439453125
48.0,-124.25,-6.931610107421875
48.0,-124.0,-7.683990478515625
48.0,-123.75,-8.042449951171875
48.0,-123.5,-6.554901123046875
48.0,-123.25,-6.010040283203125
48.0,-122.75,-5.00933837890625
48.0,-122.25,-5.2576904296875
48.0,-122.0,-6.5523681640625
48.0,-121.75,-6.48443603515625
48.0,-121.5,-6.898040771484375
48.0,-121.25,-7.281341552734375
48.0,-121.0,-7.232513427734375
48.0,-120.75,-6.91741943359375
48.0,-120.5,-7.822174072265625
48.0,-120.25,-6.942230224609375
48.0,-120.0,-5.698883056640625
48.0,-118.75,-5.86529541015625
48.0,-118.5,-5.917083740234375
48.0,-118.25,-5.35650634765625
48.0,-118.0,-6.88385009765625
48.0,-117.75,-5.4798583984375
48.0,-117.5,-6.41943359375
48.0,-117.25,-5.625823974609375
48.0,-117.0,-7.02655029296875
48.0,-116.25,-6.61126708984375
48.0,-116.0,-5.05596923828125
48.0,-115.75,-5.492218017578125
48.0,-115.5,-6.25726318359375
48.0,-115.25,-5.461181640625
48.0,-115.0,-5.568939208984375
48.0,-114.75,-5.325439453125
48.0,-114.5,-5.973663330078125
48.0,-113.75,-6.020294189453125
48.0,-112.75,-5.19927978515625
48.0,-112.5,-5.3492431640625
48.0,-112.25,-5.5152587890625
48.0,-112.0,-5.60943603515625
48.0,-111.75,-6.017364501953125
48.0,-111.5,-5.940826416015625
48.0,-111.25,-6.466644287109375
48.0,-111.0,-6.383056640625
48.0,-110.75,-5.920989990234375
48.0,-110.5,-5.27337646484375
48.0,-89.25,5.501129150390625
48.0,-89.0,5.732574462890625
48.0,-88.75,5.738311767578125
48.0,-88.5,5.971160888671875
48.0,-88.25,6.15167236328125
48.0,-88.0,6.258514404296875
48.0,-87.75,6.316864013671875
48.0,-87.5,6.354522705078125
48.0,-87.25,6.277069091796875
48.0,-87.0,6.225738525390625
48.0,-86.75,6.338653564453125
48.0,-86.5,6.2735595703125
48.0,-86.25,6.265869140625
48.0,-86.0,6.269073486328125
48.0,-85.75,5.22119140625
48.0,-85.0,5.2890625
48.0,-84.5,5.032135009765625
48.0,-81.0,5.06402587890625
48.0,-80.75,5.0810546875
48.0,-80.5,5.165771484375
48.0,-80.25,5.143157958984375
48.0,-80.0,5.0460205078125
48.0,-77.75,5.030029296875
48.0,-77.5,5.254547119140625
48.0,-77.25,5.124359130859375
48.0,-77.0,5.131683349609375
48.0,-76.75,5.321990966796875
48.0,-76.5,5.25482177734375
48.0,-76.25,5.260833740234375
48.0,-76.0,5.428619384765625
48.0,-75.75,5.456329345703125
48.0,-75.5,5.494293212890625
48.0,-75.25,5.784698486328125
48.0,-75.0,5.8665771484375
48.0,-74.75,5.9974365234375
48.0,-74.5,6.0791015625
48.0,-74.25,6.0751953125
48.0,-74.0,6.29217529296875
48.0,-73.75,6.333099365234375
48.0,-73.5,6.040313720703125
48.0,-73.25,5.813507080078125
48.0,-73.0,5.722412109375
48.0,-72.75,5.704315185546875
48.0,-72.5,5.782562255859375
48.0,-72.25,6.239593505859375
48.0,-72.0,6.324615478515625
48.0,-71.75,6.97186279296875
48.0,-71.5,7.0323486328125
48.0,-71.25,6.87042236328125
48.0,-71.0,7.253631591796875
48.0,-70.75,7.40911865234375
48.0,-70.5,6.389617919921875
48.0,-70.25,6.01190185546875
48.0,-70.0,5.03546142578125
48.0,-69.75,5.49371337890625
48.0,-69.5,6.604888916015625
48.0,-69.25,5.776214599609375
48.0,-69.0,5.53656005859375
48.0,-68.75,5.797882080078125
48.0,-68.5,6.370574951171875
48.0,-68.25,6.036956787109375
48.0,-68.0,6.33148193359375
48.0,-67.75,5.8287353515625
48.0,-67.5,5.236297607421875
48.0,-67.25,5.084869384765625
48.0,-67.0,5.404998779296875
47.75,-124.25,-6.474273681640625
47.75,-124.0,-7.0391845703125
47.75,-123.75,-7.850738525390625
47.75,-123.5,-7.66876220703125
47.75,-123.25,-9.713104248046875
47.75,-123.0,-7.129058837890625
47.75,-122.75,-5.0447998046875
47.75,-122.5,-5.286895751953125
47.75,-122.25,-6.342620849609375
47.75,-122.0,-6.81195068359375
47.75,-121.75,-5.919036865234375
47.75,-121.5,-6.412689208984375
47.75,-121.0,-6.906585693359375
47.75,-120.75,-5.01214599609375
47.75,-120.5,-7.068450927734375
47.75,-119.0,-5.805084228515625
47.75,-118.75,-6.08538818359375
47.75,-118.5,-6.132659912109375
47.75,-118.25,-5.445465087890625
47.75,-118.0,-5.45330810546875
47.75,-117.75,-5.5140380859375
47.75,-117.0,-5.869293212890625
47.75,-116.75,-5.053436279296875
47.75,-116.5,-7.0941162109375
47.75,-116.25,-6.1807861328125
47.75,-116.0,-5.69464111328125
47.75,-115.75,-5.739959716796875
47.75,-115.5,-5.391693115234375
47.75,-115.25,-7.56341552734375
47.75,-115.0,-6.4793701171875
47.75,-114.75,-5.244384765625
47.75,-112.75,-5.95947265625
47.75,-112.5,-5.626708984375
47.75,-112.25,-5.08642578125
47.75,-112.0,-5.41278076171875
47.75,-111.75,-5.8494873046875
47.75,-111.5,-5.987548828125
47.75,-111.25,-6.8153076171875
47.75,-111.0,-5.74151611328125
47.75,-110.75,-5.133270263671875
47.75,-110.5,-5.040863037109375
47.75,-110.25,-5.085906982421875
47.75,-89.75,5.20611572265625
47.75,-89.5,5.518157958984375
47.75,-89.25,5.783721923828125
47.75,-89.0,5.936920166015625
47.75,-88.75,5.9871826171875
47.75,-88.5,5.985595703125
47.75,-88.25,6.07763671875
47.75,-88.0,6.311431884765625
47.75,-87.75,6.328948974609375
47.75,-87.5,6.4141845703125
47.75,-87.25,6.373382568359375
47.75,-87.0,6.339935302734375
47.75,-86.75,6.372802734375
47.75,-86.5,6.414947509765625
47.75,-86.25,6.364227294921875
47.75,-86.0,6.23480224609375
47.75,-85.75,5.86907958984375
47.75,-85.5,6.1751708984375
47.75,-85.25,6.12127685546875
47.75,-85.0,5.716766357421875
47.75,-81.0,5.08740234375
47.75,-80.75,5.27960205078125
47.75,-80.5,5.56048583984375
47.75,-80.25,5.372711181640625
47.75,-80.0,5.078765869140625
47.75,-78.5,5.083160400390625
47.75,-76.75,5.17620849609375
47.75,-76.5,5.431243896484375
47.75,-76.25,5.476409912109375
47.75,-76.0,5.163604736328125
47.75,-75.75,5.322296142578125
47.75,-75.5,5.5013427734375
47.75,-75.25,5.267242431640625
47.75,-75.0,5.433990478515625
47.75,-74.75,5.948699951171875
47.75,-74.5,6.01171875
47.75,-74.25,5.794708251953125
47.75,-74.0,5.73150634765625
47.75,-73.75,5.9827880859375
47.75,-73.5,5.95037841796875
47.75,-73.25,5.51605224609375
47.75,-73.0,5.548919677734375
47.75,-72.75,5.9815673828125
47.75,-72.5,6.170806884765625
47.75,-72.25,5.902374267578125
47.75,-72.0,6.307281494140625
47.75,-71.75,6.860687255859375
47.75,-71.5,6.5980224609375
47.75,-71.25,6.618255615234375
47.75,-71.0,6.5369873046875
47.75,-70.75,6.54095458984375
47.75,-70.5,6.082611083984375
47.75,-69.75,5.734039306640625
47.75,-69.5,6.431427001953125
47.75,-69.25,6.108673095703125
47.75,-69.0,6.182586669921875
47.75,-68.75,6.1663818359375
47.75,-68.5,5.809814453125
47.75,-68.25,5.37799072265625
47.75,-68.0,5.474365234375
47.75,-67.75,5.5523681640625
47.75,-67.5,5.63330078125
47.75,-67.25,5.439910888671875
47.75,-67.0,5.985809326171875
47.5,-124.25,-6.465484619140625
47.5,-124.0,-7.14251708984375
47.5,-123.75,-6.20123291015625
47.5,-123.5,-7.619140625
47.5,-123.25,-6.865814208984375
47.5,-123.0,-6.4183349609375
47.5,-122.75,-7.107391357421875
47.5,-122.5,-5.663909912109375
47.5,-122.25,-6.3565673828125
47.5,-122.0,-7.152801513671875
47.5,-121.75,-5.962005615234375
47.5,-121.5,-6.93353271484375
47.5,-121.25,-6.9019775390625
47.5,-121.0,-8.4462890625
47.5,-120.75,-7.09503173828125
47.5,-120.0,-5.951416015625
47.5,-119.5,-5.07586669921875
47.5,-119.0,-5.699951171875
47.5,-118.75,-5.773162841796875
47.5,-118.5,-5.901458740234375
47.5,-118.25,-5.99066162109375
47.5,-118.0,-6.16748046875
47.5,-117.75,-6.27801513671875
47.5,-117.5,-5.716064453125
47.5,-117.25,-5.850616455078125
47.5,-117.0,-6.5089111328125
47.5,-116.75,-5.2847900390625
47.5,-116.5,-5.64337158203125
47.5,-116.25,-5.558807373046875
47.5,-115.75,-7.156890869140625
47.5,-115.5,-5.746063232421875
47.5,-115.25,-6.456512451171875
47.5,-111.25,-5.086395263671875
47.5,-110.5,-5.683685302734375
47.5,-90.25,5.266143798828125
47.5,-90.0,5.492706298828125
47.5,-89.75,5.69329833984375
47.5,-89.5,5.972412109375
47.5,-89.25,6.017547607421875
47.5,-89.0,6.154052734375
47.5,-88.75,6.137420654296875
47.5,-88.5,6.071441650390625
47.5,-88.25,5.57177734375
47.5,-88.0,5.5386962890625
47.5,-87.75,5.824951171875
47.5,-87.5,6.406890869140625
47.5,-87.25,6.383880615234375
47.5,-87.0,6.4110107421875
47.5,-86.75,6.4293212890625
47.5,-86.5,6.424072265625
47.5,-86.25,6.32281494140625
47.5,-86.0,6.421722412109375
47.5,-85.75,6.44873046875
47.5,-85.5,6.1826171875
47.5,-85.25,5.976104736328125
47.5,-85.0,6.12396240234375
47.5,-84.75,5.34625244140625
47.5,-81.0,5.17376708984375
47.5,-80.75,5.355712890625
47.5,-78.5,5.003509521484375
47.5,-75.75,5.04864501953125
47.5,-75.5,5.113037109375
47.5,-75.25,5.216583251953125
47.5,-75.0,5.41400146484375
47.5,-74.75,5.466644287109375
47.5,-74.5,5.2410888671875
47.5,-74.25,5.24273681640625
47.5,-74.0,5.45953369140625
47.5,-73.75,5.661773681640625
47.5,-73.5,5.957366943359375
47.5,-73.25,6.06744384765625
47.5,-73.0,5.55047607421875
47.5,-72.75,5.417327880859375
47.5,-72.5,5.3143310546875
47.5,-72.25,5.9375
47.5,-72.0,6.220855712890625
47.5,-71.75,6.147430419921875
47.5,-71.5,6.313629150390625
47.5,-71.25,6.853607177734375
47.5,-71.0,6.57891845703125
47.5,-70.75,5.9617919921875
47.5,-70.0,5.51763916015625
47.5,-69.75,6.93743896484375
47.5,-69.5,6.365081787109375
47.5,-69.25,6.171600341796875
47.5,-69.0,6.349090576171875
47.5,-68.75,5.87841796875
47.5,-68.5,5.353668212890625
47.5,-68.25,5.355224609375
47.5,-68.0,5.34185791015625
47.5,-67.75,5.375518798828125
47.5,-67.5,5.8564453125
47.5,-67.25,5.618499755859375
47.5,-67.0,5.719451904296875
47.25,-124.0,-7.068084716796875
47.25,-123.75,-7.566009521484375
47.25,-123.5,-7.576446533203125
47.25,-123.25,-6.789703369140625
47.25,-123.0,-5.94024658203125
47.25,-122.75,-5.54638671875
47.25,-122.5,-5.534637451171875
47.25,-122.0,-5.833099365234375
47.25,-121.75,-7.13214111328125
47.25,-121.5,-6.57537841796875
47.25,-121.25,-5.500152587890625
47.25,-120.75,-5.9627685546875
47.25,-120.5,-9.57513427734375
47.25,-120.25,-8.153717041015625
47.25,-119.75,-5.518707275390625
47.25,-119.5,-5.210540771484375
47.25,-119.25,-5.35992431640625
47.25,-119.0,-6.012359619140625
47.25,-118.75,-6.087921142578125
47.25,-118.5,-5.8636474609375
47.25,-118.25,-5.893829345703125
47.25,-118.0,-5.942047119140625
47.25,-117.75,-5.97479248046875
47.25,-117.5,-5.796875
47.25,-117.25,-5.633331298828125
47.25,-117.0,-6.294403076171875
47.25,-116.75,-5.562835693359375
47.25,-116.5,-5.429962158203125
47.25,-115.75,-5.147674560546875
47.25,-115.5,-5.81097412109375
47.25,-115.25,-5.439239501953125
47.25,-114.75,-7.15228271484375
47.25,-114.5,-8.221466064453125
47.25,-114.25,-5.083953857421875
47.25,-113.75,-5.27789306640625
47.25,-113.25,-5.598388671875
47.25,-113.0,-5.154571533203125
47.25,-91.0,5.043609619140625
47.25,-90.75,5.16015625
47.25,-90.5,5.35906982421875
47.25,-90.25,5.619384765625
47.25,-90.0,5.942535400390625
47.25,-89.75,6.020782470703125
47.25,-89.5,5.48406982421875
47.25,-89.25,5.179290771484375
47.25,-89.0,5.971343994140625
47.25,-88.75,5.780426025390625
47.25,-88.5,5.07781982421875
47.25,-88.0,5.510406494140625
47.25,-87.75,5.770355224609375
